ts_event,open,high,low,close,volume
2026-05-22 06:40:00+00:00,1.16062,1.16062,1.16052,1.16057,0
2026-05-22 06:41:00+00:00,1.16057,1.16064,1.16053,1.16064,0
2026-05-22 06:42:00+00:00,1.16066,1.16073,1.16059,1.16068,0
2026-05-22 06:43:00+00:00,1.16067,1.16068,1.16063,1.16064,0
2026-05-22 06:44:00+00:00,1.16065,1.16096,1.16063,1.16094,0
2026-05-22 06:45:00+00:00,1.16096,1.16097,1.16078,1.16084,0
2026-05-22 06:46:00+00:00,1.16083,1.16099,1.16083,1.16098,0
2026-05-22 06:47:00+00:00,1.16101,1.16103,1.16093,1.16094,0
2026-05-22 06:48:00+00:00,1.16095,1.16106,1.16095,1.16103,0
2026-05-22 06:49:00+00:00,1.16102,1.16102,1.16089,1.16089,0
2026-05-22 06:50:00+00:00,1.1609,1.16092,1.16086,1.16087,0
2026-05-22 06:51:00+00:00,1.16087,1.16088,1.16079,1.16079,0
2026-05-22 06:52:00+00:00,1.16078,1.16079,1.16073,1.16075,0
2026-05-22 06:53:00+00:00,1.16076,1.16081,1.16067,1.16081,0
2026-05-22 06:54:00+00:00,1.16082,1.16083,1.16056,1.16065,0
2026-05-22 06:55:00+00:00,1.16067,1.16104,1.16067,1.16104,0
2026-05-22 06:56:00+00:00,1.16103,1.16107,1.16099,1.16103,0
2026-05-22 06:57:00+00:00,1.16103,1.16106,1.16098,1.16098,0
2026-05-22 06:58:00+00:00,1.16097,1.16101,1.16092,1.16097,0
2026-05-22 06:59:00+00:00,1.16098,1.161,1.16092,1.16098,0
2026-05-22 07:00:00+00:00,1.16096,1.16097,1.16056,1.16064,0
2026-05-22 07:01:00+00:00,1.16064,1.16064,1.16051,1.16053,0
2026-05-22 07:02:00+00:00,1.16053,1.16058,1.16038,1.16043,0
2026-05-22 07:03:00+00:00,1.16042,1.16055,1.16039,1.16054,0
2026-05-22 07:04:00+00:00,1.16053,1.16054,1.16047,1.16053,0
2026-05-22 07:05:00+00:00,1.16054,1.16054,1.16039,1.16043,0
2026-05-22 07:06:00+00:00,1.16044,1.16047,1.1604,1.16043,0
2026-05-22 07:07:00+00:00,1.16045,1.16049,1.16033,1.16033,0
2026-05-22 07:08:00+00:00,1.16033,1.16045,1.16033,1.16042,0
2026-05-22 07:09:00+00:00,1.16044,1.16049,1.16038,1.16046,0
2026-05-22 07:10:00+00:00,1.16046,1.16054,1.16036,1.16036,0
2026-05-22 07:11:00+00:00,1.16037,1.16043,1.16036,1.1604,0
2026-05-22 07:12:00+00:00,1.16038,1.16038,1.16025,1.1603,0
2026-05-22 07:13:00+00:00,1.16028,1.16033,1.16023,1.16025,0
2026-05-22 07:14:00+00:00,1.16027,1.16029,1.16012,1.16019,0
2026-05-22 07:15:00+00:00,1.16021,1.16043,1.16021,1.16043,0
2026-05-22 07:16:00+00:00,1.16043,1.16044,1.16035,1.16043,0
2026-05-22 07:17:00+00:00,1.16045,1.1605,1.16039,1.16048,0
2026-05-22 07:18:00+00:00,1.16046,1.16046,1.16029,1.16031,0
2026-05-22 07:19:00+00:00,1.16033,1.16038,1.16032,1.16033,0
2026-05-22 07:20:00+00:00,1.16032,1.16038,1.16026,1.16029,0
2026-05-22 07:21:00+00:00,1.16029,1.16044,1.16028,1.16043,0
2026-05-22 07:22:00+00:00,1.16044,1.16063,1.16043,1.16062,0
2026-05-22 07:23:00+00:00,1.1606,1.16069,1.1606,1.16062,0
2026-05-22 07:24:00+00:00,1.16061,1.16065,1.16059,1.16062,0
2026-05-22 07:25:00+00:00,1.1606,1.16061,1.16052,1.16061,0
2026-05-22 07:26:00+00:00,1.16059,1.16062,1.16058,1.1606,0
2026-05-22 07:27:00+00:00,1.16061,1.16064,1.1606,1.16063,0
2026-05-22 07:28:00+00:00,1.1606,1.16067,1.16055,1.16067,0
2026-05-22 07:29:00+00:00,1.1607,1.16085,1.1607,1.16085,0
2026-05-22 07:30:00+00:00,1.16082,1.16082,1.16065,1.16068,0
2026-05-22 07:31:00+00:00,1.1607,1.1607,1.16056,1.1606,0
2026-05-22 07:32:00+00:00,1.16061,1.16066,1.16052,1.16056,0
2026-05-22 07:33:00+00:00,1.16054,1.16071,1.16052,1.16071,0
